,Pais,Sexo,Edad,Causa de Muerte,Cantidad
1021,0,1,6,51,480
1022,0,1,6,52,252
1023,0,1,6,53,130
1024,0,1,6,54,7
1025,0,1,6,55,2
1026,0,1,6,56,8
1027,0,1,6,57,7
1028,0,1,6,58,51
1029,0,1,6,59,20
1030,0,1,6,60,1295
1031,0,1,6,61,215
1032,0,1,6,62,0
1033,0,1,6,63,0
1034,0,1,7,0,1477
1035,0,1,7,1,70
1036,0,1,7,2,44
1037,0,1,7,3,0
1038,0,1,7,4,0
1039,0,1,7,5,0
1040,0,1,7,6,0
1041,0,1,7,7,1243
1042,0,1,7,8,0
1043,0,1,7,9,0
1044,0,1,7,10,19
1045,0,1,7,11,12
1046,0,1,7,12,0
1047,0,1,7,13,8022
1048,0,1,7,14,7713
1049,0,1,7,15,69
1050,0,1,7,16,166
1051,0,1,7,17,311
1052,0,1,7,18,888
1053,0,1,7,19,265
1054,0,1,7,20,673
1055,0,1,7,21,901
1056,0,1,7,23,493
1057,0,1,7,24,149
1058,0,1,7,25,94
1059,0,1,7,26,1520
1060,0,1,7,27,1171
1061,0,1,7,28,70
1062,0,1,7,29,122
1063,0,1,7,30,497
1064,0,1,7,31,9893
1065,0,1,7,32,21
1066,0,1,7,33,832
1067,0,1,7,34,2118
1068,0,1,7,35,2314
1069,0,1,7,36,232
1070,0,1,7,37,6363
1071,0,1,7,38,0
1072,0,1,7,39,3011
1073,0,1,7,40,892
1074,0,1,7,41,1495
1075,0,1,7,42,43
1076,0,1,7,43,372
1077,0,1,7,44,150
1078,0,1,7,45,1414
1079,0,1,7,46,908
1080,0,1,7,48,0
1081,0,1,7,49,10
1082,0,1,7,50,1997
1083,0,1,7,51,608
1084,0,1,7,52,331
1085,0,1,7,53,88
1086,0,1,7,54,23
1087,0,1,7,55,2
1088,0,1,7,56,9
1089,0,1,7,57,9
1090,0,1,7,58,27
1091,0,1,7,59,10
1092,0,1,7,60,1408
1093,0,1,7,61,106
1094,0,1,7,62,0
1095,0,1,7,63,0
1096,0,1,8,0,2201
1097,0,1,8,1,130
1098,0,1,8,2,33
1099,0,1,8,3,0
1100,0,1,8,4,0
1101,0,1,8,5,0
1102,0,1,8,6,1
1103,0,1,8,7,1922
